global_pep_ID,local_pep_ID,frame,trajectory,target_status,pp_contacts,pl_contacts,dip_pp_contacts,dip_lp_contacts,hyd_lp_contacts,Ppep_Nlip_contacts,Npep_Plip_contacts,mean_separation,mean_apl
10,10,233,0,3,0,0,0,0,0,0,0,18.288450562983535,0.5841000000000001
22,22,233,0,1,0,13,0,3,49,4,2,6.990615235360205,0.5841000000000001
34,34,233,0,3,0,1,0,0,0,0,2,10.04693834086038,0.5841000000000001
10,10,234,0,3,0,0,0,0,0,0,0,18.24221199161142,0.5900000000000001
22,22,234,0,1,0,19,0,3,39,4,2,6.9653901141285655,0.5900000000000001
34,34,234,0,3,0,1,0,0,0,0,2,10.022028396147292,0.5900000000000001
10,10,235,0,3,0,0,0,0,0,0,1,18.198369688299632,0.5900000000000001
22,22,235,0,1,0,21,0,2,43,4,2,6.936893261009707,0.5900000000000001
34,34,235,0,3,0,2,0,0,0,0,1,9.993118026821312,0.5900000000000001
10,10,236,0,3,0,0,0,0,0,0,0,18.15782208584091,0.5900000000000001
22,22,236,0,1,0,21,0,1,54,4,2,6.909168505190491,0.5900000000000001
34,34,236,0,3,0,1,0,0,0,0,1,9.960688973897453,0.5900000000000001
10,10,237,0,3,0,0,0,0,0,0,0,18.118131053754063,0.5898
22,22,237,0,1,0,25,0,2,48,5,2,6.883167413020767,0.5898
34,34,237,0,3,0,1,0,0,0,0,1,9.930966423277198,0.5898
10,10,238,0,3,0,0,0,0,0,0,0,18.06985242733514,0.5999000000000001
22,22,238,0,1,0,18,0,3,41,3,2,6.857042263481786,0.5999000000000001
34,34,238,0,3,0,0,0,0,0,0,1,9.905388156889138,0.5999000000000001
10,10,239,0,3,0,0,0,0,0,0,0,18.027520437776513,0.5999000000000001
22,22,239,0,1,0,16,0,0,42,3,2,6.83402828307436,0.5999000000000001
34,34,239,0,3,0,0,0,0,0,0,1,9.881855310076446,0.5999000000000001
10,10,240,0,3,0,0,0,0,0,0,0,17.989715339315723,0.6154
22,22,240,0,1,0,22,0,1,50,3,2,6.806708321665351,0.6154
34,34,240,0,3,0,0,0,0,0,0,0,9.866692330340603,0.6154
10,10,241,0,3,0,0,0,0,0,0,0,17.959483119501865,0.6133
22,22,241,0,1,0,16,0,5,49,2,2,6.783205896966736,0.6133
